q-max	action	timestep
2.099	LEFT	380
2.580	LEFT	471
2.247	NOOP	566
2.190	NOOP	697
2.051	NOOP	842
2.502	LEFT	856
2.710	FIRE	864
2.644	LEFT	933
2.363	FIRE	1090
2.374	FIRE	1092
2.166	LEFT	1112
2.659	RIGHT	1174
2.119	LEFT	1209
2.293	LEFT	1221
2.626	LEFT	1283
2.720	FIRE	1287
2.614	RIGHT	151
2.339	LEFT	314
1.919	NOOP	566
2.015	LEFT	572
2.681	FIRE	625
1.977	NOOP	899
2.158	LEFT	913
1.797	RIGHT	946
2.839	FIRE	1077
3.160	FIRE	1245
2.621	FIRE	1262
2.728	FIRE	1270
3.925	FIRE	1376
2.227	NOOP	8
1.987	NOOP	398
2.420	LEFT	527
2.174	LEFT	576
1.855	NOOP	717
2.587	FIRE	880
2.486	LEFT	993
1.662	RIGHT	1007
2.162	NOOP	1032
2.237	RIGHT	1098
1.992	NOOP	1280
2.083	NOOP	1363
2.498	FIRE	1390
2.456	FIRE	1484
2.595	FIRE	167
2.520	LEFT	358
1.732	LEFT	379
1.750	NOOP	446
1.780	NOOP	448
1.920	RIGHT	455
2.071	LEFT	459
2.369	NOOP	478
1.691	NOOP	558
2.239	NOOP	753
1.898	NOOP	802
2.749	FIRE	832
2.044	NOOP	929
2.629	LEFT	945
1.873	NOOP	1080
2.628	LEFT	1257
2.072	NOOP	1280
2.823	FIRE	1309
2.642	LEFT	1336
3.249	NOOP	1465
3.138	FIRE	1548
3.190	FIRE	1591
2.450	LEFT	1598
3.153	FIRE	1650
2.428	LEFT	1676
3.249	FIRE	1707
2.130	FIRE	1877
2.064	FIRE	1916
2.577	FIRE	32
1.883	NOOP	82
1.742	NOOP	333
2.236	NOOP	387
2.043	RIGHT	428
1.938	NOOP	526
2.061	NOOP	599
2.254	NOOP	669
2.698	NOOP	717
2.094	NOOP	884
2.078	NOOP	1055
2.127	RIGHT	1133
2.169	NOOP	1376
2.278	RIGHT	1635
2.451	FIRE	1660
2.497	FIRE	1661
2.646	LEFT	1683
1.849	RIGHT	1685
2.073	RIGHT	1858
2.331	RIGHT	1862
3.490	RIGHT	1874
1.562	RIGHT	349
2.112	NOOP	521
2.080	NOOP	632
2.120	NOOP	832
1.790	FIRE	838
2.055	NOOP	1132
2.281	NOOP	1249
2.572	NOOP	1261
2.521	NOOP	1401
2.301	NOOP	1544
3.341	FIRE	1645
2.475	LEFT	48
2.577	NOOP	254
1.651	NOOP	376
1.736	NOOP	384
1.811	NOOP	623
2.341	NOOP	672
2.449	RIGHT	858
3.097	FIRE	1104
3.191	FIRE	1249
2.489	FIRE	1257
3.430	FIRE	1301
2.184	LEFT	213
2.604	NOOP	264
2.393	LEFT	400
2.227	LEFT	453
2.657	FIRE	472
2.243	NOOP	512
1.916	NOOP	648
2.671	FIRE	811
1.913	NOOP	880
2.508	NOOP	1082
2.672	NOOP	1089
1.797	NOOP	1097
1.809	RIGHT	1159
2.572	NOOP	1258
2.795	FIRE	1270
2.519	NOOP	1292
2.599	LEFT	1296
2.871	NOOP	1363
3.130	FIRE	1408
2.975	FIRE	1476
2.896	FIRE	1551
2.008	RIGHT	1727
2.153	RIGHT	1764
2.912	FIRE	1824
2.934	LEFT	2070
2.648	FIRE	2168
1.763	NOOP	6
1.886	NOOP	173
2.048	LEFT	178
2.505	NOOP	225
2.103	LEFT	323
1.610	NOOP	356
2.027	LEFT	385
1.868	LEFT	553
1.920	RIGHT	558
2.105	RIGHT	686
2.404	LEFT	758
3.226	LEFT	837
2.494	LEFT	922
2.946	FIRE	1026
2.507	NOOP	1091
2.981	LEFT	1172
2.477	NOOP	1185
2.236	NOOP	1346
3.112	FIRE	1498
3.531	FIRE	1675
2.981	FIRE	1763
3.261	NOOP	1977
2.570	FIRE	121
1.818	NOOP	134
2.131	NOOP	176
1.726	NOOP	262
1.933	NOOP	271
2.028	NOOP	281
2.045	LEFT	349
2.148	NOOP	681
2.530	LEFT	1025
